[31/01/2016 | 09:30:35.221781] | {pid= 2464} | {tid=     2592} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:30:35.221858] | {pid= 2464} | {tid=     1696} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:30:35.222008] | {pid= 2464} | {tid=     2592} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:30:35.222092] | {pid= 2464} | {tid=     1696} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:30:35.222236] | {pid= 2464} | {tid=     2592} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:30:35.222326] | {pid= 2464} | {tid=     1696} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:30:35.222452] | {pid= 2464} | {tid=     2592} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:30:35.222548] | {pid= 2464} | {tid=     1696} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:30:35.222680] | {pid= 2464} | {tid=     2592} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:30:35.222768] | {pid= 2464} | {tid=     1696} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:30:35.222895] | {pid= 2464} | {tid=     2592} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:30:35.222998] | {pid= 2464} | {tid=     1696} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
